Gen1:1 [1]起初[2]神[3]创造[4]诸天与地，
Gen1:2 [1]而地变为[2]荒废空虚，[3]渊面[2]黑暗。<br class="split">[4]神的[5]灵[6]覆罩在水面上。
Gen1:3 神[1]说，要有[1]光，就有了光。
Gen1:4 神看光是好的，就把光暗[1]分开了。
Gen1:5 神称光为昼，称暗为夜；有晚上，有早晨，这是第一日。
Gen1:6 神说，诸水之间要有[1]广阔的空间，将水与水[2]分开。
Gen1:7 神就造出[1]天空，将天空以下的水，与天空以上的水分开；事就这样成了。
Gen1:8 神称天空为天；有晚上，有早晨，是第二[1]日。
Gen1:9 神说，天以下的水要聚在一处，使[1]旱地露出来；事就这样成了。
Gen1:10 神称旱地为[1]地，称水的聚处为[1]海；神看是好的。
Gen1:11 神说，地要长出[1]青草，和结种子的菜蔬，并结果子的树木，各从其类，果子都包着核；事就这样成了。
Gen1:12 于是地生出青草，和结种子的菜蔬，各从其类，并结果子的树木，各从其类，果子都包着核；神看是好的。
Gen1:13 有晚上，有早晨，是第三日。
Gen1:14 神说，天上[1]穹苍之中要有[2]光体，可以分昼夜，作[3]记号，定节令、日子、年岁；
Gen1:15 并要发光在天上穹苍之中，普照在地上；事就这样成了。
Gen1:16 于是神[1]造了两个大的光体，[2]大的管昼，[3]小的管夜；又造[4]众星。
Gen1:17 就把这些光体摆设在天上穹苍之中，普照在地上，
Gen1:18 [1]管理昼夜，分别光暗；神看是好的。
Gen1:19 有晚上，有早晨，是第四日。
Gen1:20 神说，水要多多滋生[1]有生命的物；要有[2]禽鸟飞在地面以上，[3]天空之中。
Gen1:21 神就创造大鱼，和水中所滋生各样有生命的动物，各从其类；又创造各样[1]飞鸟，各从其类；神看是好的。
Gen1:22 神就赐福给这一切，说，要繁衍增多，充满海中的水；禽鸟也要增多在地上。
Gen1:23 有晚上，有早晨，是第五日。
Gen1:24 神说，地要生出有生命的物，各从其类；[1]牲畜、[2]爬物、[1]走兽，各从其类；事就这样成了。
Gen1:25 于是神造出走兽，各从其类；牲畜各从其类；地上一切爬物，各从其类；神看是好的。
Gen1:26 神说，[1]我们要按着我们的[2]形像，照着我们的[2]样式造[3]人，使[4]他们[5]管理海里的鱼、空中的鸟、地上的牲畜、和全地、并地上所爬的一切[6]爬物。
Gen1:27 神就按着自己的形像创造人，乃是按着神的形像创造他；创造他们有男有女。
Gen1:28 神就赐福给他们；又对他们说，褀繁衍增多，遍满地面，并[1]制伏这地，也要管理海里的鱼、空中的鸟、和地上各样行动的活物。
Gen1:29 神说，看哪，我将遍地上各样结种子的菜蔬，和各样结有核果子的树，赐给你们作[1]食物。
Gen1:30 至于地上各样的走兽和空中各样的飞鸟，并各样爬在地上有生命的物，我将青草赐给它们作食物；事就这样成了。
Gen1:31 神看一切所造的都[1]甚好；有晚上，有早晨，是第六日。
Gen2:1 天地万物都造齐了。
Gen2:2 到第七日，神造作的工已经完毕，就在第七日歇了祂一切造作的工，[1]安息了。
Gen2:3 神赐福给第七日，将其分别为圣，因为在这日神歇了祂一切[1]创造和造作的工，就安息了。
Gen2:4 [1]诸天与地[2]创造的来历，乃是这样。在[3]耶和华神[2]造地造天的日子，
Gen2:5 地上还没有[1]草木，田间的菜蔬还没有长起来，因为耶和华神还没有降雨在地上，也没有人[2]耕地。
Gen2:6 只有雾气从地上腾，滋润遍地。
